P172	ethnic group	subject's ethnicity (consensus is that a VERY high standard of proof is needed for this field to be used. In general this means 1) the subject claims it him/herself, or 2) it is widely agreed on by scholars, or 3) is fictional and portrayed as such).	ethnicity, race,
P175	performer	musician, music group, or other performer associated with this work	band, musician, music group, musical artist, group, singer,
P1750	name day	day of the year associated with a first/given name. A qualifier should be used to identify the calendar that is being used. Distinguish from "feast day" (P:P841)	
P176	manufacturer	manufacturer or producer of this product	manufactured by, maker, mfr, built by, builder, made by, producer (of product),
P177	crosses	obstacle (body of water, road, ...) which this bridge crosses over or this tunnel goes under	bridge over, tunnel under,
P178	developer	organisation or person that developed this item	developed by,
P180	depicts	depicted entity (see also P921: subject heading)	depiction of, painting of, motif, portrait of, landscape of,
P183	endemic to	sole location or habitat type where the taxon lives	endemism,
P184	doctoral advisor	person who supervised the doctorate or PhD thesis of the subject	advisor, doctoral supervisor, supervisor,
P1853	blood type	blood type of the (human or animal) item	blood group,
P186	material used	material the subject is made of or derived from	medium, made from, constructed from, constructed out of, construction material, media, built from, built out of, manufactured from, manufactured out of, crafted from, crafted out of, formed from, formed out of, made of, ore, source material, raw material, feedstock, reactant, ingredient, contains,
P1884	hair color	person's hair color. Use P585 as qualifier if there's more than one value.	hair colour, color of hair, colour of hair,
P1885	cathedral	principal church of a religious district	
P189	location of discovery	where the item was located when discovered	findspot, location of discovered object, discovery place, place of discovery,
P19	place of birth	most specific known (e.g. city instead of country, or hospital instead of city)	birthplace, born in, POB, birth place, location born, born at, birth location, location of birth, location, birth city,
P190	sister city	twin towns, sister cities, twinned municipalities and other localities that have a partnership or cooperative agreement, either legally or informally acknowledged by their governments	twin town, sister town, twin cities, twin city, partner city, partner town,
P1923	participating teams	Like 'Participant' (P710) but for teams. For an event like a cycle race or a football match you can use this property to list the teams and P710 to list the individuals (with 'member of sports team' (P54)' as a qualifier for the individuals)	
P193	main building contractor	the main organization responsible for construction of this structure or building	building contractor, built by, constructed by, builder,
