P816	decays to	what isotope does this radioactive isotope decay to	
P825	dedicated to	person or organization to whom the subject was dedicated	dedication,
P826	tonality	key of a musical composition	musical key, key of musical composition,
P828	has cause	underlying cause, thing that ultimately resulted in this effect	cause, has causes, has underlying cause, underlying cause, ultimate cause, ultimate causes, initial cause, effect of, outcome of, result of, has reason, reason, caused by,
P837	day in year for periodic occurrence	when a specific holiday or periodic event occurs. Can be used as property or qualifier	day of periodic occurrence, day in year, day, date, recurring event, periodic occurrence,
P84	architect	person or architectural firm that designed this building	
P840	narrative location	the narrative of the work is set in this location	setting location, narrative set in,
P841	feast day	saint's principal feast day	
P85	anthem	name of the subject's anthem	national anthem,
P859	sponsor	enterprise or individual that sponsors this item	funded by, funder,
P86	composer	person(s) who wrote the music; also use P676 for lyricist	songwriter, composed by, musical score by, music by,
P870	instrumentation	combination of musical instruments employed in a composition	
P88	commissioned by	person or organization that commissioned this work	client, commissioner, made for, built for,
P880	CPU	central processing unit found within the subject item	central processing unit,
P9	sister	subject has the object as their sister (female sibling)	has sister, sibling,
P91	sexual orientation	the sexual orientation of the person - use IF AND ONLY IF they have stated it themselves, unambiguously, or it has been widely agreed upon by historians after their death	
P914	USK rating	German video game content rating - see talk page for appropriate values	Unterhaltungssoftware Selbstkontrolle rating,
P915	filming location	actual place where this scene/film was shot	location of filming, location where filmed, studio where filmed, place of filming, place where filmed, recorded at,
P921	main subject	primary topic of a work	index term, topic of work, main topic, aboutness, about, topic, subject, subject heading, subject of, mainly about,
P930	type of electrification	electrification system scheme and/or voltage	electrification type,
P931	place served by airport	city or region served by this airport	serves city, city served,
P937	work location	location where persons were active	workplace, work location, place of activity, active in,
P941	inspired by	work, human, or event which inspired this creative work	source of inspiration, inspiration,
P97	noble title	titles held by the person	peerage, title (hereditary), hereditary title, royal title,
P972	catalog	catalog for the item, or, as a qualifier of P528 â€“ catalog for which the 'catalog code' is valid	catalogue, registry,
P974	tributary	stream or river that flows into this main stem (or parent) river or a lake	
P98	editor	editor of a compiled work such as a book or academic journal	compiler, edited by, compiled by,
P991	successful candidate	person(s) elected after the election	elected person,
